person,personLabel,sitelinks
http://www.wikidata.org/entity/Q97386372,Victor Edvardsen,14
http://www.wikidata.org/entity/Q105013461,Ella Halvarsson,14
http://www.wikidata.org/entity/Q107618956,Josafat Mendes,14
http://www.wikidata.org/entity/Q114397513,Momodou Sonko,14
http://www.wikidata.org/entity/Q119949462,Anna Sandberg,14
http://www.wikidata.org/entity/Q121628426,Victor Lindgren,14
http://www.wikidata.org/entity/Q122227001,Jonah Kusi-Asare,14
http://www.wikidata.org/entity/Q122410,Johan Larsson,13
http://www.wikidata.org/entity/Q93744,Viktor Lundberg,13
http://www.wikidata.org/entity/Q172159,Alhassan Kamara,13
http://www.wikidata.org/entity/Q270980,Julia Winter,13
http://www.wikidata.org/entity/Q1390051,Mattias Tedenby,13
http://www.wikidata.org/entity/Q462696,Dafina Zeqiri,13
http://www.wikidata.org/entity/Q462084,Elin Johansson,13
http://www.wikidata.org/entity/Q1859540,Tim Erixon,13
http://www.wikidata.org/entity/Q1683569,Robin Söder,13
http://www.wikidata.org/entity/Q3058893,Estelle Alphand,13
http://www.wikidata.org/entity/Q4719652,Alexander Michel,13
http://www.wikidata.org/entity/Q4355567,Molly Nutley,13
http://www.wikidata.org/entity/Q3182189,John Norman,13
http://www.wikidata.org/entity/Q5580980,Darijan Bojanić,13
http://www.wikidata.org/entity/Q6087996,Mohammed Saeid,13
http://www.wikidata.org/entity/Q6757996,Marcus Antonsson,13
http://www.wikidata.org/entity/Q6791770,Mattias Janmark,13
http://www.wikidata.org/entity/Q6381123,Oscar Sundqvist,13
http://www.wikidata.org/entity/Q16228693,Dennis Everberg,13
http://www.wikidata.org/entity/Q15616315,Filip Sachpekidis,13
http://www.wikidata.org/entity/Q15727678,Simon Sandberg,13
http://www.wikidata.org/entity/Q13402197,Sebastian Aho,13
http://www.wikidata.org/entity/Q15992180,Elias Andersson,13
http://www.wikidata.org/entity/Q18145133,Eric Smith,13
http://www.wikidata.org/entity/Q18238939,Gustav Forsling,13
http://www.wikidata.org/entity/Q18451987,Lukas Nilsson,13
http://www.wikidata.org/entity/Q20680146,Fredrik Bergström,13
http://www.wikidata.org/entity/Q18648000,Johanna Bundsen,13
http://www.wikidata.org/entity/Q21860037,Isac Lidberg,13
http://www.wikidata.org/entity/Q20261138,Jonathan Augustinsson,13
